"";"FreqNdx";"order";"order_Freq";"date";"date_Freq";"customer";"customer_Freq";"item";"item_Freq";"amount";"amount_Freq";"quantity";"quantity_Freq";"price";"price_Freq"
"241";241;"11110030030";8;;;"11ELECOM15292";14;"48984";14;"68.33";27;;;"36.835";1
"242";242;"11110030057";8;;;"11ELECOM16119";14;"48985";8;"68.75";2;;;"37.5";446
"243";243;"11110030097";8;;;"11ELECOM16186";14;"48986";175;"69.17";46;;;"37.54";1
"244";244;"11110030104";8;;;"11ELECOM16189";14;"48989";106;"70";37;;;"38";1
"245";245;"11110030110";8;;;"11ELECOM16295";14;"48993";11;"70.83";148;;;"38.33";127
"246";246;"11110030119";8;;;"11ELECOM16307";14;"48994";53;"70.84";1;;;"38.33333333";4
"247";247;"11110030138";8;;;"11ELECOM16633";14;"48995";5;"71.25";2;;;"38.335";4
"248";248;"11110030180";8;;;"11ELECOM16726";14;"48996";6;"71.67";5;;;"38.96";1
"249";249;"11110030185";8;;;"11ELECOM1829";14;"48998";17;"72.92";1;;;"39.165";1
"250";250;"11110030198";8;;;"11ELECOM18707";14;"48999";157;"73.33";28;;;"39.17";122
"251";251;"11110030199";8;;;"11ELECOM18998";14;"493";1;"73.67";1;;;"39.58";85
"252";252;"11110030226";8;;;"11ELECOM19161";14;"494";217;"73.75";3;;;"39.58333333";2
